year,mission_name,stations,out_stations,churches,male_missionaries,female_assistant missionaries,other_workers,native_pastors,native_agents,converts,members
1884,Zulu,9,13,16,11,9,0,13,107,0,NA
1884,West Central Africa,NA,NA,NA,3,4,2,NA,NA,0,NA
1884,European Turkey,4,19,5,11,18,1,3,8,0,NA
1884,Western Turkey,7,101,26,19,42,1,16,219,105,1806
1884,Central Turkey,2,34,33,7,16,1,15,101,142,3064
1884,Eastern Turkey,5,112,36,15,28,NA,27,212,205,2201
1884,Maratha,7,35,22,10,9,1,16,167,NA,1422
1884,Madura,11,225,34,11,16,NA,17,395,193,2886
1884,Ceylon,7,16,13,5,9,1,10,58,,1061
1884,Foochow,3,18,11,4,6,1,2,34,240,40
1884,North China,6,18,6,16,26,2,0,32,730,74
1884,Shanse,NA,NA,NA,5,5,NA,NA,NA,NA,NA
1884,Hong Kong,NA,NA,NA,1,NA,NA,NA,2,NA,NA
1884,Japan,4,28,19,14,29,3,16,17,1097,222
1884,Micronesia,4,33,46,7,9,0,7,30,NA,NA
1884,Western Mexico,NA,NA,NA,3,4,NA,NA,NA,NA,NA
1884,Northern Mexico,NA,NA,NA,1,1,NA,NA,NA,NA,NA
1884,Spain,2,8,4,2,3,0,4,21,NA ,310
1884,Austria,1,7,4,1,0,0,0,8,NA,96
1885,Zulu,9,13,15,9,17,0,1,135,118,782
1885,East Central Africa,NA,NA,NA,3,3,NA,NA,NA,NA,NA
1885,West Central Africa,NA,NA,NA,3,3,1,NA,NA,NA,NA
1885,European Turkey,4,27,7,10,16,1,5,27,58,444
1885,Western Turkey,8,110,29,21,42,1,19,213,199,2196
1885,Central Turkey,2,34,33,7,16,2,15,101,226,3400
1885,Eastern Turkey,4,110,36,14,26,1,27,205,115,2219
1885,Maratha,7,91,23,12,12,0,14,193,NA,1593
1885,Madura,11,240,35,13,17,,18,419,233,2908
1885,Ceylon,7,16,13,5,9,,11,572,,1189
1885,Foochow,3,27,14,5,9,1,1,13,43,284
1885,North China,6,26,7,14,23,2,,37,162,869
1885,Hong Kong,1,0,2,1,0,0,0,10,9,21
1885,Shanse,NA,NA,4,5,1,NA,NA,NA,NA,NA
1885,Japan,4,50,30,14,28,3,19,18,1027,2752
1885,Northern Japan,1,5,3,3,4,0,0,0,19,104
1885,Micronesia,4,NA,46,7,9,1,5,46,500,4000
1885,Hawaii,NA,NA,NA,1,1,NA,NA,NA,NA,NA
1885,Western Mexico,2,1,2,3,4,,0,12,0,49
1885,Northern Mexico,2,0,NA,2,2,NA,NA,NA,NA,NA
1885,Spain,1,10,7,1,2,NA,5,28,NA,414
1885,Austria,1,10,3,1,1,0,0,9,26,136
1886,Zulu,7,17,16,10,17,0,3,119,67,866
1886,East Central Africa,3,2,0,3,3,0,0,4,0,60
1886,West Central Africa,3,0,0,4,5,1,0,0,NA ,NA
1886,European Turkey,4,25,7,10,15,1,5,30,38,483
1886,Western Turkey,8,110,28,22,42,1,17,251,235,2558
1886,Central Turkey,2,40,33,7,17,2,15,121,204,3567
1886,Eastern Turkey,5,117,34,14,27,1,22,187,123,2203
1886,Maratha,7,86,23,12,12,0,15,214,NA,1718
1886,Madura,11,240,36,12,17,0,18,409,225,3020
1886,Ceylon,7,16,13,5,9,0,10,53,NA,1243
1886,Foochow,3,17,14,5,11,1,2,44,40,311
1886,North China,7,29,7,14,23,3,20,25,53,899
1886,Shanse,2,1,0,4,3,NA,NA,NA,NA,NA
1886,Japan,4,50,31,18,35,4,22,20,866,3465
1886,Northern Japan,1,5,3,2,2,0,0,NA,NA,104
1886,Micronesia,3,33,51,7,12,1,16,28,1234,4985
1886,Hawaii,NA,NA,NA,1,1,NA,NA,NA,NA,NA
1886,Northern Mexico,3,0,1,4,6,NA,NA,NA,NA,42
1886,Western Mexico,2,6,2,2,3,0,NA,8,NA,12
1886,Spain,1,10,6,1,2,0,6,15,NA,465
1886,Austria,1,13,3,1,1,0,NA,10,27,158
1887,Zulu,7,17,16,10,18,0,3,119,129,969
1887,East Central Africa,3,17,NA,2,2,0,2,NA,NA,NA
1887,West Central Africa,3,NA,1,4,5,2,NA,NA,NA,14
