Report_year,mission_name,mission_station_location,name_last,name_first,title_in_report,MD,DD ,LLD,,,,,
1884,Zulu,Umzumbi,Bridgman,Henry,missionary,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Umzumbi,Brigman,Laura,mrs,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Untwalumi,Wilder,George,missionary,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Umtwalumi,Wilder,Alice,mrs,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Umtwalumi,Wilder,Abby,mrs,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Adams,Ireland,William,missionary,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Adams,Robbins,Eligah,missionary,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Adams,Kilbon,Charles,missionary,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Adams,Goodenough,Herbert,missionary,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Adams,Robbins,Addie,mrs,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Adams,Kilbon,Mary,mrs,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Adams,Goodenough,Caroline,mrs,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Adams,Day,Laura,miss,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Inanda,Richards,Erwin,missionary,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Inanda,Richards,M.A.,mrs,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Inanda,Edwards,Mary,mrs,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Inanda,Price,Martha,miss,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Itafamasi,n/a,n/a,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Umzunduzi,Tyler,Josiah,missionary,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Umzunduzi,Tyler,Susan,mrs,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Noodsberg,n/a,n/a,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Groutville,Rood,David,missionary,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Groutville,Rood,Alzina,mrs,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Groutville,Hance,Gertrude,miss,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Napumulo,n/a,n/a,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Inhambane,Wilcox,William,missionary,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Inhambane,Wicox,Ida,mrs,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Incountry,Pixley,SC,n/a,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Incountry,Pixley,Louisa,mrs,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Incountry,Ireland,R.O.,mrs,FALSE,FALSE,FALSE,,,,,
1884,Zulu,Incountry,Pinkerton,Mary,miss,FALSE,FALSE,FALSE,,,,,
